Info 0    [14:29:13.712] Starting TS Server
Info 27   [14:29:24.188] getCompletionData: Is inside comment: 0.013195999898016453
Info 28   [14:29:24.188] getCompletionData: Get previous token: 0.017891000024974346
Info 29   [14:29:24.191] getExportInfoMap: cache miss or empty; calculating new results
Info 30   [14:29:24.192] getExportInfoMap: done in 1.5416370001621544 ms
Info 31   [14:29:24.192] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 0 from cache
Info 32   [14:29:24.192] collectAutoImports: response is complete
Info 33   [14:29:24.192] collectAutoImports: 0.04220299981534481
Info 34   [14:29:24.192] getCompletionData: Semantic work: 3.6479150000959635
Info 35   [14:29:24.214] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 22.13276100018993
Info 36   [14:29:24.219] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 37   [14:29:24.224] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 3 structureChanged: false structureIsReused:: Completely Elapsed: 4.972619000356644ms
Info 38   [14:29:24.224] Different program with same set of files
Info 39   [14:29:24.225] getCompletionData: Get current token: 0.006508999969810247
Info 40   [14:29:24.225] getCompletionData: Is inside comment: 0.017928000073879957
Info 41   [14:29:24.225] getCompletionData: Get previous token: 0.023326999973505735
Info 42   [14:29:24.231] getExportInfoMap: cache miss or empty; calculating new results
Info 43   [14:29:24.233] getExportInfoMap: done in 4.9022610001266 ms
Info 44   [14:29:24.233] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 0 from cache
Info 45   [14:29:24.233] collectAutoImports: response is complete
Info 46   [14:29:24.233] collectAutoImports: 0.06026900000870228
Info 47   [14:29:24.233] getCompletionData: Semantic work: 8.55748699977994
Info 48   [14:29:24.254] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 19.02190600009635
Info 49   [14:29:24.334] getCompletionData: Get current token: 0.0053369998931884766
Info 50   [14:29:24.334] getCompletionData: Is inside comment: 0.012145999819040298
Info 51   [14:29:24.334] getCompletionData: Get previous token: 0.013523999601602554
Info 52   [14:29:24.337] getExportInfoMap: cache miss or empty; calculating new results
Info 53   [14:29:24.337] getExportInfoMap: done in 0.8181150001473725 ms
Info 54   [14:29:24.337] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 0 from cache
Info 55   [14:29:24.337] collectAutoImports: response is complete
Info 56   [14:29:24.337] collectAutoImports: 0.03741799993440509
Info 57   [14:29:24.337] getCompletionData: Semantic work: 2.964008000213653
Info 58   [14:29:24.353] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 15.701400000136346
Info 59   [14:29:24.355] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 60   [14:29:24.358] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 4 structureChanged: false structureIsReused:: Completely Elapsed: 2.734193000011146ms
Info 61   [14:29:24.358] Different program with same set of files
Info 62   [14:29:24.358] getCompletionData: Get current token: 0.00762300007045269
Info 63   [14:29:24.358] getCompletionData: Is inside comment: 0.017659000121057034
Info 64   [14:29:24.358] getCompletionData: Get previous token: 0.014327999670058489
Info 65   [14:29:24.364] getExportInfoMap: cache miss or empty; calculating new results
Info 66   [14:29:24.364] getExportInfoMap: done in 3.3881790000014007 ms
Info 67   [14:29:24.365] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 0 from cache
Info 68   [14:29:24.365] collectAutoImports: response is complete
Info 69   [14:29:24.365] collectAutoImports: 0.04345100000500679
Info 70   [14:29:24.365] getCompletionData: Semantic work: 6.389531999826431
Info 71   [14:29:24.375] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 9.748184999916703
Info 72   [14:29:24.674] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 73   [14:29:24.685] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 5 structureChanged: false structureIsReused:: Completely Elapsed: 9.988525000400841ms
Info 74   [14:29:24.685] Different program with same set of files
Info 75   [14:29:24.980] Format host information updated
Info 76   [14:29:24.984] getCompletionData: Get current token: 0.11767099983990192
Info 77   [14:29:24.984] getCompletionData: Is inside comment: 0.05941099999472499
Info 78   [14:29:24.984] getCompletionData: Get previous token: 0.18261100025847554
Info 79   [14:29:24.992] getCompletionData: Semantic work: 7.248307000380009
Info 80   [14:29:25.380] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 81   [14:29:25.385] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 6 structureChanged: false structureIsReused:: Completely Elapsed: 5.120631999801844ms
Info 82   [14:29:25.385] Different program with same set of files
Info 83   [14:29:26.264] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 84   [14:29:26.270] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 7 structureChanged: false structureIsReused:: Completely Elapsed: 5.708801000379026ms
Info 85   [14:29:26.270] Different program with same set of files
Info 86   [14:29:26.270] getCompletionData: Get current token: 0.010586999822407961
Info 87   [14:29:26.270] getCompletionData: Is inside comment: 0.025595999788492918
Info 88   [14:29:26.271] getCompletionData: Get previous token: 0.04906899994239211
Info 89   [14:29:26.271] getCompletionsAtPosition: isCompletionListBlocker: 0.34875599993392825
Info 90   [14:29:26.272] Returning an empty list because completion was requested in an invalid position.
Info 91   [14:29:26.295] getCompletionData: Get current token: 0.013641000259667635
Info 92   [14:29:26.295] getCompletionData: Is inside comment: 0.023889999836683273
Info 93   [14:29:26.295] getCompletionData: Get previous token: 0.03206299990415573
Info 94   [14:29:26.295] getCompletionsAtPosition: isCompletionListBlocker: 0.0061240000650286674
Info 95   [14:29:26.295] Returning an empty list because completion was requested in an invalid position.
Info 96   [14:29:26.351] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 97   [14:29:26.358] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 8 structureChanged: false structureIsReused:: Completely Elapsed: 7.231864999979734ms
Info 98   [14:29:26.358] Different program with same set of files
Info 99   [14:29:26.359] getCompletionData: Get current token: 0.009510000236332417
Info 100  [14:29:26.359] getCompletionData: Is inside comment: 0.022627000231295824
Info 101  [14:29:26.359] getCompletionData: Get previous token: 0.03378499997779727
Info 102  [14:29:26.359] getCompletionsAtPosition: isCompletionListBlocker: 0.0036210003308951855
Info 103  [14:29:26.359] Returning an empty list because completion was requested in an invalid position.
Info 104  [14:29:26.382] getCompletionData: Get current token: 0.01131199998781085
Info 105  [14:29:26.382] getCompletionData: Is inside comment: 0.029442999977618456
Info 106  [14:29:26.382] getCompletionData: Get previous token: 0.050491000059992075
Info 107  [14:29:26.382] getCompletionsAtPosition: isCompletionListBlocker: 0.004329000134021044
Info 108  [14:29:26.382] Returning an empty list because completion was requested in an invalid position.
Info 109  [14:29:26.418] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 110  [14:29:26.427] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 9 structureChanged: false structureIsReused:: Completely Elapsed: 9.010362999979407ms
Info 111  [14:29:26.427] Different program with same set of files
Info 112  [14:29:26.428] getCompletionData: Get current token: 0.014026999939233065
Info 113  [14:29:26.428] getCompletionData: Is inside comment: 0.03238300001248717
Info 114  [14:29:26.428] getCompletionData: Get previous token: 0.04783400008454919
Info 115  [14:29:26.428] getCompletionsAtPosition: isCompletionListBlocker: 0.006698000244796276
Info 116  [14:29:26.428] Returning an empty list because completion was requested in an invalid position.
Info 117  [14:29:26.455] getCompletionData: Get current token: 0.021863000001758337
Info 118  [14:29:26.455] getCompletionData: Is inside comment: 0.05204400001093745
Info 119  [14:29:26.455] getCompletionData: Get previous token: 0.07802099967375398
Info 120  [14:29:26.455] getCompletionsAtPosition: isCompletionListBlocker: 0.017256000079214573
Info 121  [14:29:26.456] Returning an empty list because completion was requested in an invalid position.
Info 122  [14:29:26.565] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 123  [14:29:26.573] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 10 structureChanged: false structureIsReused:: Completely Elapsed: 7.578499999828637ms
Info 124  [14:29:26.573] Different program with same set of files
Info 125  [14:29:26.574] getCompletionData: Get current token: 0.04012399958446622
Info 126  [14:29:26.574] getCompletionData: Is inside comment: 0.10259100003167987
Info 127  [14:29:26.575] getCompletionData: Get previous token: 0.08015300007537007
Info 128  [14:29:26.575] getCompletionsAtPosition: isCompletionListBlocker: 0.010808000341057777
Info 129  [14:29:26.575] Returning an empty list because completion was requested in an invalid position.
Info 130  [14:29:26.601] getCompletionData: Get current token: 0.02665999997407198
Info 131  [14:29:26.601] getCompletionData: Is inside comment: 0.05801700009033084
Info 132  [14:29:26.601] getCompletionData: Get previous token: 0.0793249998241663
Info 133  [14:29:26.601] getCompletionsAtPosition: isCompletionListBlocker: 0.01590200001373887
Info 134  [14:29:26.602] Returning an empty list because completion was requested in an invalid position.
Info 135  [14:29:27.638] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 136  [14:29:27.647] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 11 structureChanged: false structureIsReused:: Completely Elapsed: 8.747740000020713ms
Info 137  [14:29:27.647] Different program with same set of files
Info 138  [14:29:27.647] getCompletionData: Get current token: 0.012749999761581421
Info 139  [14:29:27.647] getCompletionData: Is inside comment: 0.03320900024846196
Info 140  [14:29:27.647] getCompletionData: Get previous token: 0.04868400003761053
Info 141  [14:29:27.647] getCompletionsAtPosition: isCompletionListBlocker: 0.00911700027063489
Info 142  [14:29:27.647] Returning an empty list because completion was requested in an invalid position.
Info 143  [14:29:27.670] getCompletionData: Get current token: 0.01662899972870946
Info 144  [14:29:27.670] getCompletionData: Is inside comment: 0.0491630001924932
Info 145  [14:29:27.670] getCompletionData: Get previous token: 0.06188700022175908
Info 146  [14:29:27.670] getCompletionsAtPosition: isCompletionListBlocker: 0.008193999994546175
Info 147  [14:29:27.670] Returning an empty list because completion was requested in an invalid position.
Info 148  [14:29:27.683] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 149  [14:29:27.687] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 12 structureChanged: false structureIsReused:: Completely Elapsed: 4.0455060000531375ms
Info 150  [14:29:27.687] Different program with same set of files
Info 151  [14:29:27.688] getCompletionData: Get current token: 0.005141000263392925
Info 152  [14:29:27.688] getCompletionData: Is inside comment: 0.012432999908924103
Info 153  [14:29:27.688] getCompletionData: Get previous token: 0.019013000186532736
Info 154  [14:29:27.688] getCompletionsAtPosition: isCompletionListBlocker: 0.002474999986588955
Info 155  [14:29:27.688] Returning an empty list because completion was requested in an invalid position.
Info 156  [14:29:27.710] getCompletionData: Get current token: 0.005108000244945288
Info 157  [14:29:27.710] getCompletionData: Is inside comment: 0.01193699985742569
Info 158  [14:29:27.710] getCompletionData: Get previous token: 0.01785899978131056
Info 159  [14:29:27.710] getCompletionsAtPosition: isCompletionListBlocker: 0.002305000089108944
Info 160  [14:29:27.710] Returning an empty list because completion was requested in an invalid position.
Info 161  [14:29:29.003] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 162  [14:29:29.011] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 13 structureChanged: false structureIsReused:: Completely Elapsed: 7.701697000302374ms
Info 163  [14:29:29.011] Different program with same set of files
Info 164  [14:29:29.131] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 165  [14:29:29.133] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 14 structureChanged: false structureIsReused:: Completely Elapsed: 2.5094869998283684ms
Info 166  [14:29:29.133] Different program with same set of files
Info 167  [14:29:29.134] getCompletionData: Get current token: 0.006969999987632036
Info 168  [14:29:29.134] getCompletionData: Is inside comment: 0.016440999694168568
Info 169  [14:29:29.134] getCompletionData: Get previous token: 0.024791999720036983
Info 170  [14:29:29.134] getCompletionsAtPosition: isCompletionListBlocker: 0.0037010000087320805
Info 171  [14:29:29.134] Returning an empty list because completion was requested in an invalid position.
Info 172  [14:29:29.136] getCompletionData: Get current token: 0.006996000185608864
Info 173  [14:29:29.136] getCompletionData: Is inside comment: 0.01670899987220764
Info 174  [14:29:29.136] getCompletionData: Get previous token: 0.024677000008523464
Info 175  [14:29:29.136] getCompletionsAtPosition: isCompletionListBlocker: 0.0036639999598264694
Info 176  [14:29:29.136] Returning an empty list because completion was requested in an invalid position.
Info 177  [14:29:29.637] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 178  [14:29:29.641] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 15 structureChanged: false structureIsReused:: Completely Elapsed: 4.627584999892861ms
Info 179  [14:29:29.641] Different program with same set of files
Info 180  [14:29:29.642] getCompletionData: Get current token: 0.013017000164836645
Info 181  [14:29:29.642] getCompletionData: Is inside comment: 0.03262200020253658
Info 182  [14:29:29.642] getCompletionData: Get previous token: 0.0474740001372993
Info 183  [14:29:29.642] getCompletionsAtPosition: isCompletionListBlocker: 0.005905000027269125
Info 184  [14:29:29.642] Returning an empty list because completion was requested in an invalid position.
Info 185  [14:29:29.666] getCompletionData: Get current token: 0.014840999618172646
Info 186  [14:29:29.666] getCompletionData: Is inside comment: 0.03527999995276332
Info 187  [14:29:29.666] getCompletionData: Get previous token: 0.055403999984264374
Info 188  [14:29:29.667] getCompletionsAtPosition: isCompletionListBlocker: 0.006436000112444162
Info 189  [14:29:29.667] Returning an empty list because completion was requested in an invalid position.
Info 190  [14:29:29.750] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 191  [14:29:29.754] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 16 structureChanged: false structureIsReused:: Completely Elapsed: 4.215530999936163ms
Info 192  [14:29:29.754] Different program with same set of files
Info 193  [14:29:29.754] getCompletionData: Get current token: 0.013166000135242939
Info 194  [14:29:29.754] getCompletionData: Is inside comment: 0.032015999779105186
Info 195  [14:29:29.755] getCompletionData: Get previous token: 0.04841200029477477
Info 196  [14:29:29.755] getCompletionsAtPosition: isCompletionListBlocker: 0.00609799986705184
Info 197  [14:29:29.755] Returning an empty list because completion was requested in an invalid position.
Info 198  [14:29:29.778] getCompletionData: Get current token: 0.026587999891489744
Info 199  [14:29:29.779] getCompletionData: Is inside comment: 0.03225099993869662
Info 200  [14:29:29.779] getCompletionData: Get previous token: 0.055472999811172485
Info 201  [14:29:29.779] getCompletionsAtPosition: isCompletionListBlocker: 0.00622200034558773
Info 202  [14:29:29.779] Returning an empty list because completion was requested in an invalid position.
Info 203  [14:29:30.031] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 204  [14:29:30.033] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 17 structureChanged: false structureIsReused:: Completely Elapsed: 2.426606999710202ms
Info 205  [14:29:30.033] Different program with same set of files
Info 206  [14:29:30.034] getCompletionData: Get current token: 0.006240000016987324
Info 207  [14:29:30.034] getCompletionData: Is inside comment: 0.014793999958783388
Info 208  [14:29:30.034] getCompletionData: Get previous token: 0.022634000051766634
Info 209  [14:29:30.034] getCompletionsAtPosition: isCompletionListBlocker: 0.0029449998401105404
Info 210  [14:29:30.034] Returning an empty list because completion was requested in an invalid position.
Info 211  [14:29:30.036] getCompletionData: Get current token: 0.00835400028154254
Info 212  [14:29:30.036] getCompletionData: Is inside comment: 0.015137000009417534
Info 213  [14:29:30.036] getCompletionData: Get previous token: 0.0264060003682971
Info 214  [14:29:30.036] getCompletionsAtPosition: isCompletionListBlocker: 0.0025460002943873405
Info 215  [14:29:30.036] Returning an empty list because completion was requested in an invalid position.
Info 216  [14:29:30.150] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 217  [14:29:30.159] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 18 structureChanged: false structureIsReused:: Completely Elapsed: 8.364433000329882ms
Info 218  [14:29:30.159] Different program with same set of files
Info 219  [14:29:30.160] getCompletionData: Get current token: 0.033573000226169825
Info 220  [14:29:30.160] getCompletionData: Is inside comment: 0.09071100037544966
Info 221  [14:29:30.160] getCompletionData: Get previous token: 0.15724100032821298
Info 222  [14:29:30.160] getCompletionsAtPosition: isCompletionListBlocker: 0.016293000429868698
Info 223  [14:29:30.161] Returning an empty list because completion was requested in an invalid position.
Info 224  [14:29:30.186] getCompletionData: Get current token: 0.03177200024947524
Info 225  [14:29:30.186] getCompletionData: Is inside comment: 0.05345699982717633
Info 226  [14:29:30.186] getCompletionData: Get previous token: 0.07160199992358685
Info 227  [14:29:30.186] getCompletionsAtPosition: isCompletionListBlocker: 0.010238999966531992
Info 228  [14:29:30.186] Returning an empty list because completion was requested in an invalid position.
Info 229  [14:29:31.656] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 230  [14:29:31.663] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 19 structureChanged: false structureIsReused:: Completely Elapsed: 6.978688000235707ms
Info 231  [14:29:31.663] Different program with same set of files
Info 232  [14:29:32.147] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 233  [14:29:32.155] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 20 structureChanged: false structureIsReused:: Completely Elapsed: 7.990443999879062ms
Info 234  [14:29:32.156] Different program with same set of files
Info 235  [14:29:32.697] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 236  [14:29:32.705] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 21 structureChanged: false structureIsReused:: Completely Elapsed: 8.116806999780238ms
Info 237  [14:29:32.705] Different program with same set of files
Info 238  [14:29:34.770] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 239  [14:29:34.778] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 22 structureChanged: false structureIsReused:: Completely Elapsed: 7.598964999895543ms
Info 240  [14:29:34.778] Different program with same set of files
Info 241  [14:29:34.885] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 242  [14:29:34.888] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 23 structureChanged: false structureIsReused:: Completely Elapsed: 2.806861999910325ms
Info 243  [14:29:34.888] Different program with same set of files
Info 244  [14:29:34.888] getCompletionData: Get current token: 0.009264000225812197
Info 245  [14:29:34.888] getCompletionData: Is inside comment: 0.022067999932914972
Info 246  [14:29:34.888] getCompletionData: Get previous token: 0.02676199981942773
Info 247  [14:29:34.888] getCompletionsAtPosition: isCompletionListBlocker: 0.09587900014594197
Info 248  [14:29:34.889] getCompletionData: Semantic work: 0.23848100006580353
Info 249  [14:29:34.889] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 0.07952299993485212
Info 250  [14:29:35.377] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 251  [14:29:35.382] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 24 structureChanged: false structureIsReused:: Completely Elapsed: 5.159518000204116ms
Info 252  [14:29:35.382] Different program with same set of files
Info 253  [14:29:35.567] Format host information updated
Info 254  [14:29:35.568] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 255  [14:29:35.576] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 25 structureChanged: false structureIsReused:: Completely Elapsed: 8.131223999895155ms
Info 256  [14:29:35.576] Different program with same set of files
Info 257  [14:29:35.577] getCompletionData: Get current token: 0.11618199991062284
Info 258  [14:29:35.577] getCompletionData: Is inside comment: 0.029637000057846308
Info 259  [14:29:35.577] getCompletionData: Get previous token: 0.15746799996122718
Info 260  [14:29:35.578] getCompletionsAtPosition: isCompletionListBlocker: 0.029128000140190125
Info 261  [14:29:35.578] getCompletionData: Semantic work: 0.10664200037717819
Info 262  [14:29:35.585] Format host information updated
Info 263  [14:29:35.585] Format host information updated
Info 264  [14:29:35.586] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 265  [14:29:35.592] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 26 structureChanged: false structureIsReused:: Completely Elapsed: 6.346084000077099ms
Info 266  [14:29:35.593] Different program with same set of files
Info 267  [14:29:35.593] getCompletionData: Get current token: 0.04970699967816472
Info 268  [14:29:35.593] getCompletionData: Is inside comment: 0.017891000024974346
Info 269  [14:29:35.593] getCompletionData: Get previous token: 0.11932099983096123
Info 270  [14:29:35.593] getCompletionsAtPosition: isCompletionListBlocker: 0.011376999784260988
Info 271  [14:29:35.594] getCompletionData: Semantic work: 0.12515700003132224
Info 272  [14:29:35.595] getCompletionData: Get current token: 0.05008399998769164
Info 273  [14:29:35.595] getCompletionData: Is inside comment: 0.018454999662935734
Info 274  [14:29:35.595] getCompletionData: Get previous token: 0.12195899989455938
Info 275  [14:29:35.595] getCompletionsAtPosition: isCompletionListBlocker: 0.011061999946832657
Info 276  [14:29:35.595] getCompletionData: Semantic work: 0.09296700032427907
Info 277  [14:29:37.019] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 278  [14:29:37.024] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 27 structureChanged: false structureIsReused:: Completely Elapsed: 4.570977000053972ms
Info 279  [14:29:37.024] Different program with same set of files
Info 280  [14:29:37.394] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 281  [14:29:37.401] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 28 structureChanged: false structureIsReused:: Completely Elapsed: 6.746497999876738ms
Info 282  [14:29:37.401] Different program with same set of files
Info 283  [14:29:38.186] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 284  [14:29:38.192] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 29 structureChanged: false structureIsReused:: Completely Elapsed: 5.860086999833584ms
Info 285  [14:29:38.192] Different program with same set of files
Info 286  [14:29:38.614] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 287  [14:29:38.620] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 30 structureChanged: false structureIsReused:: Completely Elapsed: 5.808929999824613ms
Info 288  [14:29:38.620] Different program with same set of files
Info 289  [14:29:40.026] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 290  [14:29:40.032] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 31 structureChanged: false structureIsReused:: Completely Elapsed: 5.394896999932826ms
Info 291  [14:29:40.032] Different program with same set of files
Info 292  [14:29:41.894] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 293  [14:29:41.900] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 32 structureChanged: false structureIsReused:: Completely Elapsed: 5.909520999994129ms
Info 294  [14:29:41.900] Different program with same set of files
Info 295  [14:29:42.411] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 296  [14:29:42.418] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 33 structureChanged: false structureIsReused:: Completely Elapsed: 6.252010999713093ms
Info 297  [14:29:42.418] Different program with same set of files
Info 298  [14:29:42.812] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 299  [14:29:42.816] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 34 structureChanged: false structureIsReused:: Completely Elapsed: 3.9231369998306036ms
Info 300  [14:29:42.816] Different program with same set of files
Info 301  [14:29:42.816] getCompletionData: Get current token: 0.030441000126302242
Info 302  [14:29:42.816] getCompletionData: Is inside comment: 0.06665699975565076
Info 303  [14:29:42.817] getCompletionData: Get previous token: 0.04826900037005544
Info 304  [14:29:42.817] getCompletionsAtPosition: isCompletionListBlocker: 0.008741999976336956
Info 305  [14:29:42.824] getExportInfoMap: cache miss or empty; calculating new results
Info 306  [14:29:42.825] getExportInfoMap: done in 3.643285000231117 ms
Info 307  [14:29:42.825] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 0 from cache
Info 308  [14:29:42.825] collectAutoImports: response is complete
Info 309  [14:29:42.825] collectAutoImports: 0.041359000373631716
Info 310  [14:29:42.825] getCompletionData: Semantic work: 8.444063000380993
Info 311  [14:29:42.839] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 14.080500000156462
Info 312  [14:29:42.843] getCompletionData: Get current token: 0.010088999755680561
Info 313  [14:29:42.843] getCompletionData: Is inside comment: 0.023391999769955873
Info 314  [14:29:42.843] getCompletionData: Get previous token: 0.033681000117212534
Info 315  [14:29:42.843] getCompletionsAtPosition: isCompletionListBlocker: 0.0028730002231895924
Info 316  [14:29:42.846] getExportInfoMap: cache miss or empty; calculating new results
Info 317  [14:29:42.846] getExportInfoMap: done in 0.9993640002794564 ms
Info 318  [14:29:42.847] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 0 from cache
Info 319  [14:29:42.847] collectAutoImports: response is complete
Info 320  [14:29:42.847] collectAutoImports: 0.039814000017941
Info 321  [14:29:42.847] getCompletionData: Semantic work: 3.689707000274211
Info 322  [14:29:42.858] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 10.093451999593526
Info 323  [14:29:42.861] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 324  [14:29:42.863] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 35 structureChanged: false structureIsReused:: Completely Elapsed: 2.2653250000439584ms
Info 325  [14:29:42.863] Different program with same set of files
Info 326  [14:29:42.863] getCompletionData: Get current token: 0.0119420001283288
Info 327  [14:29:42.863] getCompletionData: Is inside comment: 0.022776999976485968
Info 328  [14:29:42.863] getCompletionData: Get previous token: 0.03213800024241209
Info 329  [14:29:42.864] getCompletionsAtPosition: isCompletionListBlocker: 0.061033000238239765
Info 330  [14:29:42.869] getExportInfoMap: cache miss or empty; calculating new results
